"Scenario","Test","n","Replications","Power"
"Uniform_-3_3","IM_efficient",200,10000,0.0524
"Uniform_-3_3","McCullagh_Test",200,10000,0.0545
"Uniform_-3_3","leCessie_Test",200,10000,0.0675
"Uniform_-3_3","bagoft_parallel",200,1000,0.051
"Uniform_-3_3","hosmer_equal_width",200,10000,0.052
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",200,10000,0.1026
"Uniform_-3_3","PR_test",200,0,NA
"Uniform_-3_3","bagoft_test_Split_20",200,10000,1e-04
"Uniform_-3_3","stute_zhu_test",200,10000,0.0474
"Uniform_-3_3","Tsiatis_clustering",200,10000,0.0463
"Uniform_-3_3","hosmer_bootstrap",200,10000,0.2311
"Uniform_-3_3","eHL_10",200,10000,0.0027
"Uniform_-3_3","Final_Farrington_G10",200,10000,0.0648
"Uniform_-3_3","giviti_calib",2000,10000,4e-04
"Uniform_-3_3","giviti_calib_internal",2000,10000,0.0509
"Uniform_-3_3","traditional_HL",2000,10000,0.0481
"Uniform_-3_3","pearson",2000,10000,0
"Uniform_-3_3","deviance",2000,10000,0.4399
"Uniform_-3_3","hl_ftest",2000,10000,0.8977
"Uniform_-3_3","osius_rojek",2000,10000,0.0569
"Uniform_-3_3","s_st_pgeq0_5",2000,10000,0.0523
"Uniform_-3_3","s_st_pl0_5",2000,10000,0.0483
"Uniform_-3_3","sst_both",2000,10000,0.0704
"Uniform_-3_3","large_s_hl",2000,10000,0.0474
"Uniform_-3_3","spiegelhalter",2000,10000,0
"Uniform_-3_3","Copas_unweighted_S",2000,10000,0.0523
"Uniform_-3_3","pigeonheyse",2000,10000,0.0305
"Uniform_-3_3","xie",2000,10000,0.0273
"Uniform_-3_3","eHL",2000,10000,0.0022
"Uniform_-3_3","U_p",2000,10000,0
"Uniform_-3_3","HL_GAM",2000,10000,0.0432
"Uniform_-3_3","PR_GAM",2000,0,NA
"Uniform_-3_3","XIE_GAM",2000,10000,0.052
"Uniform_-3_3","Farrington_standalone",2000,10000,0
"Uniform_-3_3","IM_efficient",2000,10000,0.0516
"Uniform_-3_3","McCullagh_Test",2000,10000,0.0488
"Uniform_-3_3","leCessie_Test",2000,10000,0.0659
"Uniform_-3_3","bagoft_parallel",2000,1000,0.043
"Uniform_-3_3","hosmer_equal_width",2000,10000,0.0481
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",2000,10000,0.0603
"Uniform_-3_3","PR_test",2000,0,NA
"Uniform_-3_3","bagoft_test_Split_20",2000,10000,0
"Uniform_-3_3","stute_zhu_test",2000,10000,0.0498
"Uniform_-3_3","Tsiatis_clustering",2000,10000,0.0524
"Uniform_-3_3","hosmer_bootstrap",2000,10000,0.1082
"Uniform_-3_3","eHL_10",2000,10000,0.0034
"Uniform_-3_3","Final_Farrington_G10",2000,10000,0.0664
"Uniform_-3_3","traditional_HL",25000,10000,0.0512
