"Scenario","Test","n","Replications","Power"
"Quad_Pronounced","pearson",500,10000,0.9998
"Quad_Pronounced","deviance",500,10000,0
"Quad_Pronounced","hl_ftest",500,10000,1
"Quad_Pronounced","osius_rojek",500,10000,1
"Quad_Pronounced","s_st_pgeq0_5",500,9615,0.9609
"Quad_Pronounced","s_st_pl0_5",500,10000,1
"Quad_Pronounced","sst_both",500,9615,1
"Quad_Pronounced","large_s_hl",500,10000,1
"Quad_Pronounced","spiegelhalter",500,10000,0.1514
"Quad_Pronounced","Copas_unweighted_S",500,10000,1
"Quad_Pronounced","pigeonheyse",500,10200,1
"Quad_Pronounced","xie",500,10200,1
"Quad_Pronounced","eHL",500,10000,1
"Quad_Pronounced","U_p",500,10000,0
"Quad_Pronounced","HL_GAM",500,10000,0.9994
"Quad_Pronounced","PR_GAM",500,0,NA
"Quad_Pronounced","XIE_GAM",500,10000,1
"Quad_Pronounced","Farrington_standalone",500,10000,0
"Quad_Pronounced","IM_efficient",500,10000,1
"Quad_Pronounced","McCullagh_Test",500,10000,1
"Quad_Pronounced","leCessie_Test",500,10000,1
"Quad_Pronounced","hosmer_equal_width",500,10200,1
"Quad_Pronounced","bagoft_test_NO_SIM_Split_1",500,10000,0.8355
"Quad_Pronounced","PR_test",500,0,NA
"Quad_Pronounced","bagoft_parallel",500,1000,0.428
"Quad_Pronounced","bagoft_test_Split_20",500,10000,0.9867
"Quad_Pronounced","stute_zhu_test",500,10000,1
"Quad_Pronounced","Tsiatis_clustering",500,10200,1
"Quad_Pronounced","hosmer_bootstrap",500,10000,0.9367
"Quad_Pronounced","eHL_10",500,10000,1
"Quad_Pronounced","Final_Farrington_G10",500,10200,1
"Quad_Pronounced","giviti_calib",5000,10000,1
"Quad_Pronounced","giviti_calib_internal",5000,10000,1
"Quad_Pronounced","traditional_HL",5000,10000,1
"Quad_Pronounced","large_s_hl",5000,10000,1
"Quad_Pronounced","hosmer_equal_width",5000,10000,1
"Quad_Pronounced","pearson",5000,10000,1
"Quad_Pronounced","deviance",5000,10000,0
"Quad_Pronounced","hl_ftest",5000,10000,1
"Quad_Pronounced","osius_rojek",5000,10000,1
"Quad_Pronounced","s_st_pgeq0_5",5000,10000,1
"Quad_Pronounced","s_st_pl0_5",5000,10000,1
"Quad_Pronounced","sst_both",5000,10000,1
"Quad_Pronounced","spiegelhalter",5000,10000,1
"Quad_Pronounced","Copas_unweighted_S",5000,10000,1
"Quad_Pronounced","pigeonheyse",5000,10000,1
"Quad_Pronounced","xie",5000,10000,1
"Quad_Pronounced","eHL",5000,10000,1
"Quad_Pronounced","U_p",5000,10000,0
"Quad_Pronounced","HL_GAM",5000,10000,1
"Quad_Pronounced","PR_GAM",5000,0,NA
"Quad_Pronounced","XIE_GAM",5000,10000,1
"Quad_Pronounced","Farrington_standalone",5000,10000,0
"Quad_Pronounced","IM_efficient",5000,10000,1
"Quad_Pronounced","McCullagh_Test",5000,1000,1
"Quad_Pronounced","leCessie_Test",5000,1000,1
"Quad_Pronounced","bagoft_test_NO_SIM_Split_1",5000,10000,0.9822
"Quad_Pronounced","PR_test",5000,0,NA
"Quad_Pronounced","bagoft_parallel",5000,1000,0.839
"Quad_Pronounced","bagoft_test_Split_20",5000,10000,1
"Quad_Pronounced","stute_zhu_test",5000,10000,1
"Quad_Pronounced","Tsiatis_clustering",5000,10000,1
"Quad_Pronounced","hosmer_bootstrap",5000,10000,1
"Quad_Pronounced","eHL_10",5000,10000,1
"Quad_Pronounced","Final_Farrington_G10",5000,10000,1
